trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10027732720651521,16:31:00,16:31:00,1752,1,,
10027732720651521,16:33:00,16:33:00,1718,2,,
10027732720651521,16:34:00,16:34:00,1783,3,,
10027732720651521,16:35:00,16:35:00,1659,4,,
10027732730651521,13:44:00,13:44:00,1752,1,,
10027732730651521,13:46:00,13:46:00,1718,2,,
10027732730651521,13:47:00,13:47:00,1783,3,,
10027732730651521,13:48:00,13:48:00,1659,4,,
10027732740651521,12:11:00,12:11:00,1752,1,,
10027732740651521,12:12:00,12:12:00,1718,2,,
10027732740651521,12:13:00,12:13:00,1783,3,,
10027732740651521,12:14:00,12:14:00,1659,4,,
10027732750651521,15:31:00,15:31:00,1752,1,,
10027732750651521,15:33:00,15:33:00,1718,2,,
10027732750651521,15:34:00,15:34:00,1783,3,,
10027732750651521,15:35:00,15:35:00,1659,4,,
10027732760651521,15:31:00,15:31:00,1752,1,,
10027732760651521,15:33:00,15:33:00,1718,2,,
10027732760651521,15:34:00,15:34:00,1783,3,,
10027732760651521,15:35:00,15:35:00,1659,4,,
10027732770651521,12:09:00,12:09:00,1752,1,,
10027732770651521,12:10:00,12:10:00,1718,2,,
10027732770651521,12:11:00,12:11:00,1783,3,,
10027732770651521,12:13:00,12:13:00,1659,4,,
10127732720651521,16:36:00,16:36:00,1752,1,,
10127732720651521,16:38:00,16:38:00,1718,2,,
10127732720651521,16:39:00,16:39:00,1783,3,,
10127732720651521,16:40:00,16:40:00,1659,4,,
10127732730651521,13:49:00,13:49:00,1752,1,,
10127732730651521,13:51:00,13:51:00,1718,2,,
10127732730651521,13:52:00,13:52:00,1783,3,,
10127732730651521,13:53:00,13:53:00,1659,4,,
10127732740651521,12:15:00,12:15:00,1752,1,,
10127732740651521,12:16:00,12:16:00,1718,2,,
10127732740651521,12:17:00,12:17:00,1783,3,,
10127732740651521,12:18:00,12:18:00,1659,4,,
10127732750651521,15:37:00,15:37:00,1752,1,,
10127732750651521,15:38:00,15:38:00,1718,2,,
10127732750651521,15:39:00,15:39:00,1783,3,,
10127732750651521,15:40:00,15:40:00,1659,4,,
10127732760651521,15:37:00,15:37:00,1752,1,,
10127732760651521,15:38:00,15:38:00,1718,2,,
10127732760651521,15:39:00,15:39:00,1783,3,,
10127732760651521,15:40:00,15:40:00,1659,4,,
10127732770651521,12:13:00,12:13:00,1752,1,,
10127732770651521,12:15:00,12:15:00,1718,2,,
10127732770651521,12:16:00,12:16:00,1783,3,,
10127732770651521,12:17:00,12:17:00,1659,4,,
10227732720651521,16:41:00,16:41:00,1752,1,,
10227732720651521,16:43:00,16:43:00,1718,2,,
10227732720651521,16:44:00,16:44:00,1783,3,,
10227732720651521,16:45:00,16:45:00,1659,4,,
10227732730651521,13:54:00,13:54:00,1752,1,,
10227732730651521,13:56:00,13:56:00,1718,2,,
10227732730651521,13:57:00,13:57:00,1783,3,,
10227732730651521,13:58:00,13:58:00,1659,4,,
10227732740651521,12:19:00,12:19:00,1752,1,,
10227732740651521,12:20:00,12:20:00,1718,2,,
10227732740651521,12:21:00,12:21:00,1783,3,,
10227732740651521,12:23:00,12:23:00,1659,4,,
10227732750651521,15:42:00,15:42:00,1752,1,,
10227732750651521,15:44:00,15:44:00,1718,2,,
10227732750651521,15:45:00,15:45:00,1783,3,,
10227732750651521,15:46:00,15:46:00,1659,4,,
10227732760651521,15:42:00,15:42:00,1752,1,,
10227732760651521,15:44:00,15:44:00,1718,2,,
10227732760651521,15:45:00,15:45:00,1783,3,,
10227732760651521,15:46:00,15:46:00,1659,4,,
10227732770651521,12:18:00,12:18:00,1752,1,,
10227732770651521,12:19:00,12:19:00,1718,2,,
10227732770651521,12:20:00,12:20:00,1783,3,,
10227732770651521,12:21:00,12:21:00,1659,4,,
1027732720651521,06:43:00,06:43:00,1752,1,,
1027732720651521,06:45:00,06:45:00,1718,2,,
1027732720651521,06:46:00,06:46:00,1783,3,,
1027732720651521,06:47:00,06:47:00,1659,4,,
1027732730651521,06:24:00,06:24:00,1752,1,,
1027732730651521,06:25:00,06:25:00,1718,2,,
1027732730651521,06:26:00,06:26:00,1783,3,,
1027732730651521,06:27:00,06:27:00,1659,4,,
1027732740651521,06:20:00,06:20:00,1752,1,,
1027732740651521,06:22:00,06:22:00,1718,2,,
1027732740651521,06:23:00,06:23:00,1783,3,,
1027732740651521,06:24:00,06:24:00,1659,4,,
1027732750651521,06:28:00,06:28:00,1752,1,,
1027732750651521,06:29:00,06:29:00,1718,2,,
1027732750651521,06:30:00,06:30:00,1783,3,,
