from_stop_id,to_stop_id,transfer_type,min_transfer_time
6591768,2430,2,206
2463,7932043,2,254
5231600,2539,2,191
2430,1753,2,139
1783,7932107,2,251
1752,7647746,2,199
2463,7932044,2,198
7931357,1752,2,204
2430,7647707,2,211
1659,4459271,2,211
1659,4459270,2,201
7986289,1659,2,201
2430,4009041,2,278
1659,7921034,2,228
5231624,1659,2,211
1752,7932039,2,198
1752,7932037,2,250
7931462,1783,2,212
2205,2539,2,111
6591835,2430,2,206
1752,6575219,2,220
5231599,2539,2,218
7986294,1659,2,191
2539,4036628,2,218
2539,4036629,2,191
2393,7921033,2,212
7986292,2539,2,243
1752,1753,2,156
7931462,2393,2,212
6263537,2539,2,243
2393,7921000,2,251
5231600,1659,2,191
2430,7932040,2,189
2393,7932045,2,212
2539,4459271,2,211
2539,4459270,2,201
7931397,2539,2,242
7931398,1659,2,243
2430,7899607,2,192
7986294,2539,2,191
2430,7899606,2,192
1718,7921001,2,198
2463,7899608,2,254
7931396,1659,2,242
7931399,1783,2,273
2539,3690081,2,228
2463,7899603,2,244
1950,2539,2,61
6263536,1659,2,239
1752,7932040,2,189
2463,7921001,2,198
1659,4036628,2,218
3687659,1752,2,234
1659,4036629,2,191
1783,7921033,2,212
2430,7932039,2,198
1659,3690051,2,269
7986293,1659,2,241
1659,3690050,2,269
2430,7932037,2,250
7986293,2539,2,241
7986289,2539,2,201
2430,7647746,2,199
7931359,2430,2,253
1783,7932045,2,212
2539,3690051,2,269
5939872,1659,2,201
7986291,2539,2,243
2539,3690050,2,269
1659,7899157,2,190
1659,7899158,2,202
1783,7921000,2,251
1659,7920995,2,201
1752,6591442,2,206
1659,7920996,2,191
1659,7920997,2,235
1659,7920998,2,241
7931360,1752,2,211
1659,7920999,2,243
7986290,1659,2,235
6591835,1752,2,206
1752,7647707,2,211
5231624,2539,2,211
2430,2431,2,140
1659,3690081,2,228
7931360,2430,2,211
5231599,1659,2,218
1659,7932046,2,228
1752,2431,2,131
1752,7899606,2,192
1659,7932047,2,243
1752,7899607,2,192
1659,7932048,2,190
1659,7932049,2,202
2539,7932046,2,228
2539,7932047,2,243
2539,7932048,2,190
5939872,2539,2,201
6263537,1659,2,243
2539,7920999,2,243
2539,7932049,2,202
6591768,1752,2,206
2393,7932107,2,251
2539,7920998,2,241
2205,1659,2,107
2539,7920997,2,235
2539,7920996,2,191
7931357,2430,2,204
2539,7920995,2,201
2539,7899157,2,190
2539,7899158,2,202
7986291,1659,2,243
7986292,1659,2,243
1718,7899603,2,244
2539,7921034,2,228
1718,7932044,2,198
1718,7932043,2,254
1752,4009041,2,278
1718,7899608,2,254
1950,1659,2,61
7986290,2539,2,235
7931397,1659,2,242
2430,6591442,2,206
6263536,2539,2,239
7931399,2393,2,273
3687659,2430,2,234
7931398,2539,2,243
7931396,2539,2,242
2430,6575219,2,220
7931359,1752,2,253
